Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Эхинацея настойка 50мл флакон;;5001.25;2015;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""416 ВОЕННЫЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";3664140191;51.661535;39.200287
Тенотен;;283.81;2017;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""425 ВОЕННЫЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";5405507447;55.030199;82.92043
Тенотен;;7961.8;2017;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""425 ВОЕННЫЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";5405507447;55.030199;82.92043
Траумель С;;20125.6;2017;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""425 ВОЕННЫЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";5405507447;55.030199;82.92043
Средства гомеопатические лекарственные, регулирующие метаболические процессы;;1490610;2016;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;517755;2016;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;420647.7;2016;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;126935.6;2016;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства гомеопатические лекарственные, регулирующие метаболические процессы;;95079.7;2016;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;73230;2015;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;26244;2015;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;407583;2015;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;4367;2015;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;534.6;2014;Государственное бюджетное учреждение здравоохранения города Москвы Городская клиническая больница № 1 им.Н.И.Пирогова Департамента здравоохранения города Москвы;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;14008.94;2014;Государственное бюджетное учреждение здравоохранения города Москвы Городская клиническая больница № 1 им.Н.И.Пирогова Департамента здравоохранения города Москвы;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;84755;2014;Государственное бюджетное учреждение здравоохранения города Москвы Городская клиническая больница № 1 им.Н.И.Пирогова Департамента здравоохранения города Москвы;7706055854;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;11507.1;2016;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы""";7734091519;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;103564.89;2016;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы""";7734091519;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;318364.2;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 67 ИМЕНИ Л. А. ВОРОХОБОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";7734091519;55.755814;37.617635
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;989670;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 67 ИМЕНИ Л. А. ВОРОХОБОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";7734091519;55.755814;37.617635
Анаферон детский №20;;3650;2014;"Государственное бюджетное учреждение Республики Саха (Якутия) ""Абыйская центральная районная больница""";1401000289;65.061073;119.845652
Анаферон №20;;1685;2014;"Государственное бюджетное учреждение Республики Саха (Якутия) ""Абыйская центральная районная больница""";1401000289;65.061073;119.845652
Анаферон взрослый N20 тб д/рассасывания;;3020;2013;"Государственное бюджетное учреждение Республики Дагестан ""Агульская центральная районная больница""";501000347;41.818491;47.57193
Анаферон детский N20 тб д/рассасывания;;9360;2013;"Государственное бюджетное учреждение Республики Дагестан ""Агульская центральная районная больница""";501000347;41.818491;47.57193
Анаферон взрослый N20 таб. гомеопатические;;3020;2013;"Государственное бюджетное учреждение Республики Дагестан ""Агульская центральная районная больница""";501000347;41.818491;47.57193
Анаферон детский N20 таб. гомеопатические;;6240;2013;"Государственное бюджетное учреждение Республики Дагестан ""Агульская центральная районная больница""";501000347;41.818491;47.57193
анаферон № 20;;8199;2013;"Муниципальное бюджетное учреждение здравоохранения ""Акбулакская центральная районная больница""";5620000546;50.971805;55.78334
анаферон таблетки для рассасывания № 20;;700;2012;"Муниципальное бюджетное учреждение здравоохранения ""Акбулакская центральная районная больница""";5620000546;50.971805;55.78334
афлубин;;27595;2012;"Муниципальное бюджетное учреждение здравоохранения ""Акбулакская центральная районная больница""";5620000546;50.971805;55.78334
тенотен;;2800;2011;"Муниципальное учреждение здравоохранения ""Акбулакская центральная районная больница""";5620000546;50.971805;55.78334
анаферон детский;;11294.01;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
анаферон детский;;289.65;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;37399;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;320.35;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон детский;;61955.79;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон детский;;206.17;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;57290.4;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;9082.71;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;233.06;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;30723;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон;;34782;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""АКСАРКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8908000497;66.870715;67.647228
Анаферон детский;;37645.74;2014;"государственное бюджетное учреждение здравоохранения Ямало-Ненецкого автономного округа ""Аксарковская центральная районная больница""";8908000497;66.870715;67.647228
Анаферон детский;;380.58;2014;"государственное бюджетное учреждение здравоохранения Ямало-Ненецкого автономного округа ""Аксарковская центральная районная больница""";8908000497;66.870715;67.647228
Анаферон детский;;61050;2014;"государственное бюджетное учреждение здравоохранения Ямало-Ненецкого автономного округа ""Аксарковская центральная районная больница""";8908000497;66.870715;67.647228
Анаферон детский (МНН: ~), Россия;;30000;2013;"государственное бюджетное учреждение здравоохранения Ямало-Ненецкого автономного округа ""Аксарковская центральная районная больница""";8908000497;66.870715;67.647228
Анаферон детский Таблетки №20;;19162;2012;"государственное бюджетное учреждение здравоохранения Ямало-Ненецкого автономного округа ""Аксарковская центральная районная больница""";8908000497;66.870715;67.647228
Анаферон №20, таблетки для детей;;7590;2011;"Муниципальное учреждение ""Аксарковская центральная районная больница""";8908000497;66.870715;67.647228
анаферон детский таб.№20;;4267.6;2017;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН  ""АКУШИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";502003598;42.259793;47.095742
анаферон взрослый таб.№20;;4209.8;2017;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН  ""АКУШИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";502003598;42.259793;47.095742
анаферон взрослый тб №20;;683.64;2016;"Государственное бюджетное учреждение Республики Дагестан  ""Акушинская центральная районная больница""";502003598;42.259793;47.095742
Анаферон детский тб №20;;1388.94;2016;"Государственное бюджетное учреждение Республики Дагестан  ""Акушинская центральная районная больница""";502003598;42.259793;47.095742
анаферон детский;;5376;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АЛЕКСАНДРОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2601002398;44.717129;43.009629
Анаферон;;32890;2017;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ ""АЛНАШСКАЯ РАЙОННАЯ БОЛЬНИЦА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ""";1801005683;56.193077;52.40559
Анаферон детский;;17830;2016;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ ""АЛНАШСКАЯ РАЙОННАЯ БОЛЬНИЦА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ""";1801005683;56.193077;52.40559
Анаферон детский;;26720;2015;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ ""АЛНАШСКАЯ РАЙОННАЯ БОЛЬНИЦА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ""";1801005683;56.193077;52.40559
Анаферон детский;;104968.48;2017;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Анаферон детский;;846.48;2017;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Анаферон детский;;19623;2016;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Анаферон детский;;162.8;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Анаферон детский;;38756.24;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;10694.95;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;471.7;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;24146.44;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Средства гомеопатические лекарственные, действующие на чувствительные нервные окончания и противовоспалительные;;2646;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Средства гомеопатические лекарственные, действующие на чувствительные нервные окончания и противовоспалительные;;3720;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
Средства гомеопатические лекарственные, действующие на чувствительные нервные окончания и противовоспалительные;;839.04;2015;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АНДРОПОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;1584;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;2578.62;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;7006;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;4237.5;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;3627.6;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;8697.48;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;552.64;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;161.04;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
24.42.13.327 Средства антибактериальные гомеопатические лекарственные для лечения протозойных инфекций, грибковых заболеваний, антисептические;;8433;2014;"государственное бюджетное учреждение здравоохранения Ставропольского края ""Андроповская центральная районная больница""";2603007916;44.591196;42.494625
